X,Y,Distance
4.857471119670977714e+03,-1.447358394304044168e+03,3.375889894261540007e+02
4.891358403876873126e+03,-1.472190872415357944e+03,3.406502777777778306e+02
4.972718344483853798e+03,-1.538391779240178039e+03,3.478109954615229071e+02
5.004816244015925804e+03,-1.569290401307011734e+03,3.541502777777778306e+02
5.021713884162496470e+03,-1.594716170862267973e+03,3.598056099992164718e+02
5.061378606008295719e+03,-1.670377983164745956e+03,3.689055555555556225e+02
5.062447795828719791e+03,-1.672341865322081730e+03,3.691085415515509567e+02
5.075116270767649439e+03,-1.719928730555270704e+03,3.745602535258483954e+02
5.077847941852440272e+03,-1.740846138929266772e+03,3.769722222222222854e+02
5.076594744206508039e+03,-1.790920378770329080e+03,3.819434288615564128e+02
5.054122737293610953e+03,-1.863749005733266358e+03,3.872722222222222968e+02
5.049614376112350328e+03,-1.877914974795046192e+03,3.885121622427344619e+02
5.031812533286873077e+03,-1.912557353351043048e+03,3.936722222222222740e+02
5.023306608797535773e+03,-1.926862920399632912e+03,3.959518985909691082e+02
4.987969424542847264e+03,-1.975125570647522864e+03,4.018093057225613620e+02
4.978359410736383325e+03,-1.986467864711758011e+03,4.032722222222222968e+02
4.949529369316993325e+03,-2.020494746904463227e+03,4.076722222222222740e+02
4.948599777483378602e+03,-2.022528428055203904e+03,4.078387992906580735e+02
4.918735445740267096e+03,-2.055590818917592514e+03,4.121611111111111541e+02
4.917805853906653283e+03,-2.057624500068332964e+03,4.123321844641158691e+02
4.878226809866970143e+03,-2.099031012513899441e+03,4.180500000000000682e+02
4.852220443445124147e+03,-2.127956242081401797e+03,4.221439936060451146e+02
4.811642008578422065e+03,-2.169397654023670384e+03,4.282726020650820828e+02
4.807714244263750516e+03,-2.171536033664518982e+03,4.287166666666666970e+02
4.770064182884701950e+03,-2.210873965462641991e+03,4.343069444444444684e+02
4.746951290453805996e+03,-2.236696324058979371e+03,4.375259183555056666e+02
4.682504868806106060e+03,-2.310990729883421864e+03,4.453513888888888914e+02
4.680610785642175870e+03,-2.314058701357884274e+03,4.456008985915162839e+02
4.598130919269434344e+03,-2.445016983429446100e+03,4.573291666666666515e+02
4.565350908616022934e+03,-2.509200087916236498e+03,4.645276318048590269e+02
4.547549065790545683e+03,-2.543842466472233355e+03,4.712847222222222285e+02
4.537951746561435357e+03,-2.584201994016724711e+03,4.769059940726220930e+02
4.513728438706775705e+03,-2.750148465375950309e+03,4.893958333333333712e+02
4.513182741336889194e+03,-2.763175445623901396e+03,4.905974576504522702e+02
4.513592024955323723e+03,-2.832203211681623998e+03,5.006625000000000227e+02
4.515638400683417785e+03,-2.862150036995494247e+03,5.048664599752988806e+02
4.517453174511947509e+03,-2.914118360000487428e+03,5.105513888888888800e+02
4.519664537381559057e+03,-3.006097215582946319e+03,5.189517517965878142e+02
4.516726653551910204e+03,-3.065235771860585828e+03,5.249402777777777374e+02
4.511685289578117590e+03,-3.121445954650572730e+03,5.307435923035960741e+02
4.488169481999502750e+03,-3.250345166416686880e+03,5.444386245228781718e+02
4.485415605995362966e+03,-3.257445600695928078e+03,5.452402777777778056e+02
4.465221576710124282e+03,-3.338199555281613357e+03,5.536003885299211333e+02
4.450836700326132814e+03,-3.384729925271731645e+03,5.590402777777778738e+02
4.410039358137220916e+03,-3.477210068385379600e+03,5.688372747387531945e+02
4.287364951361504609e+03,-3.660603061496420196e+03,5.829291666666666742e+02
4.285470868197573509e+03,-3.663671032970882607e+03,5.832317053440135624e+02
4.242382853803649596e+03,-3.719208614981526352e+03,5.926625000000000227e+02
4.190671521852927981e+03,-3.757036358079446018e+03,6.051069444444444798e+02
4.188742539192294316e+03,-3.759104938726889486e+03,6.054197281741038523e+02
4.090177231439135994e+03,-3.830588364131140224e+03,6.151513888888889596e+02
4.011111147272524249e+03,-3.887382328023074024e+03,6.231191208058610300e+02
3.992506616022888920e+03,-3.899038717557631571e+03,6.253736111111112450e+02
3.873709195252430618e+03,-3.964224397106799188e+03,6.427384610848591819e+02
3.861856103315011751e+03,-3.968640754375305733e+03,6.437291666666667425e+02
3.636031860140756635e+03,-4.063579741070839646e+03,6.595961111111112132e+02
3.602506265479240028e+03,-4.077758404709973092e+03,6.626797519223335939e+02
3.537244460830029311e+03,-4.100049588032719839e+03,6.730961111111112132e+02
3.498547414549904715e+03,-4.109405795020270489e+03,6.831358655808875255e+02
3.410229821885850015e+03,-4.130500885113136974e+03,6.970913951751940658e+02
3.375425640423694404e+03,-4.136719321632819629e+03,7.008738888888890415e+02
3.259090205106402664e+03,-4.157792206806337163e+03,7.125340363784069950e+02
3.149610907591434625e+03,-4.174623232194860066e+03,7.262738888888890187e+02
3.018655809755230621e+03,-4.178195675435868907e+03,7.367359664738801257e+02
2.801299407338251513e+03,-4.171777394642043873e+03,7.483283282682933759e+02
2.752189658827506264e+03,-4.169489906672390134e+03,7.522738888888890187e+02
2.670680609891719087e+03,-4.156326512672987519e+03,7.719244045684288267e+02
2.614226130624814687e+03,-4.144289412910059582e+03,7.788738888888891552e+02
2.468023179329053164e+03,-4.112372379332216042e+03,7.925875796764770485e+02
2.427593852791157133e+03,-4.100776278449067831e+03,7.966072222222225037e+02
2.315160792633829715e+03,-4.061676317021224349e+03,8.086516666666669835e+02
2.282726592712086585e+03,-4.049801020164456077e+03,8.121949175628576540e+02
2.174081698882620458e+03,-4.004565115787688228e+03,8.238383333333335941e+02
2.156777959352973539e+03,-3.996163889788458619e+03,8.258223775862895764e+02
2.062089637605072767e+03,-3.949440001630836377e+03,8.361050000000002456e+02
2.005006967397523113e+03,-3.919413866981565661e+03,8.426884566291363399e+02
1.959092093770696238e+03,-3.894000792003662355e+03,8.483716666666668971e+02
1.882567304392651749e+03,-3.851645667040490935e+03,8.565915795890955451e+02
1.692632268949609625e+03,-3.742207637492940648e+03,8.707301000351775428e+02
1.638512871726414915e+03,-3.711077413526543296e+03,8.765716666666669425e+02
1.542441264687767443e+03,-3.653395125768413436e+03,8.960836141551600349e+02
1.438234933046157266e+03,-3.591994470675827415e+03,9.083494444444446572e+02
1.405556436647495957e+03,-3.573123438029925637e+03,9.120186039237458999e+02
1.254331142061932269e+03,-3.483346434975081593e+03,9.296114405108291976e+02
1.219584065015827946e+03,-3.462546419668546605e+03,9.339494444444446799e+02
1.046917869605730857e+03,-3.360510225293206531e+03,9.538229151262839878e+02
1.014204473710367097e+03,-3.340639801820285811e+03,9.565827777777781193e+02
7.526718040309709750e+02,-3.186673368172013397e+03,9.766401824429233329e+02
6.607373582872097586e+02,-3.132849045735149957e+03,9.892494444444446344e+02
5.974489461373308359e+02,-3.097035963103979611e+03,9.995855393906933841e+02
4.097918883219471127e+02,-2.995523261179177098e+03,1.020982695247280049e+03
3.985891922445220530e+02,-2.989910810680790291e+03,1.022138333333333549e+03
2.316528404002727655e+02,-2.908687326189338819e+03,1.040840076279916047e+03
1.949767806935353178e+02,-2.889955891530247300e+03,1.045316111111111468e+03
3.834843258979947933e+01,-2.817377929514942934e+03,1.062394122714782043e+03
-5.292292271661415981e+01,-2.782542032791442125e+03,1.068493888888888932e+03
-1.886211678690005442e+02,-2.736249633171603364e+03,1.077097992001649345e+03
-3.229710272273428018e+02,-2.699916242325253279e+03,1.091282777777777937e+03
-4.380056708246464154e+02,-2.700931511964983656e+03,1.112316741596130441e+03
-4.740535395907387510e+02,-2.700189112192235370e+03,1.116616111111111195e+03
-5.970135108107900805e+02,-2.703482359459623694e+03,1.127843086845398830e+03
-7.413667887813189736e+02,-2.724533039713792277e+03,1.138160555555555675e+03
-8.039445164197944678e+02,-2.737725007103259486e+03,1.143083446572715729e+03
-9.079731663425344550e+02,-2.767373615759518998e+03,1.156227222222222281e+03
-9.807066051573600589e+02,-2.804934857461172214e+03,1.168182777777777801e+03
-9.836349786450123247e+02,-2.807038337605317793e+03,1.168555606623418953e+03
-1.137537981770595252e+03,-2.898465169711252656e+03,1.185975000000000136e+03
-1.155143122193211411e+03,-2.910086659749107639e+03,1.187912401601115562e+03
-1.256846200414237273e+03,-2.977677220335390302e+03,1.199785727809266518e+03
-1.266665611200915919e+03,-2.983023169437510660e+03,1.200808333333333394e+03
-1.455128499311737187e+03,-3.087664173852262138e+03,1.217875000000000227e+03
-1.459056263626408736e+03,-3.089802553493110281e+03,1.218293252374895474e+03
-1.537960544886861271e+03,-3.122576238039883265e+03,1.234341666666666697e+03
-1.569766553867959601e+03,-3.128689976069458680e+03,1.238779431260951469e+03
-1.665324178798065304e+03,-3.143033626850109158e+03,1.247674999999999955e+03
-1.812885026229866526e+03,-3.158192660632269963e+03,1.258119444444444298e+03
-1.852895558807332918e+03,-3.158589249673350878e+03,1.261099669565194745e+03
-1.996750733482031137e+03,-3.136596325372292995e+03,1.273586111111110995e+03
-2.136621039426006064e+03,-3.085446569604168872e+03,1.289286968840049667e+03
-2.184464895713466376e+03,-3.062102075273709033e+03,1.296586111111110995e+03
-2.239583683763679801e+03,-3.031006750804013791e+03,1.306897222222222126e+03
-2.297875141778463785e+03,-2.995019170689330622e+03,1.315116509549744478e+03
-2.365440313210038767e+03,-2.951350559428817633e+03,1.322932208519033793e+03
-2.383917941050217905e+03,-2.937987278791194967e+03,1.325162222222221999e+03
-2.450623319641584203e+03,-2.890286204725902735e+03,1.333486809563245743e+03
-2.512506241581367249e+03,-2.837413679042002514e+03,1.341095555555555393e+03
