X,Y,Distance
-1.070900000000000000e+04,8.760000000000006821e+02,1.601899999999999864e+03
-1.070900000000000000e+04,9.160000000000006821e+02,1.604701495821704384e+03
-1.070800000000000000e+04,9.680000000000006821e+02,1.610455555555555520e+03
-1.070900000000000000e+04,1.034000000000000682e+03,1.622469898000628746e+03
-1.070900000000000000e+04,1.122000000000000682e+03,1.631647251213633126e+03
-1.070900000000000000e+04,1.127000000000000682e+03,1.632211111111110995e+03
-1.071000000000000000e+04,1.235000000000000682e+03,1.643033242647553834e+03
-1.071000000000000000e+04,1.255000000000000682e+03,1.644677777777777692e+03
-1.071200000000000000e+04,1.412000000000000682e+03,1.656103129653692349e+03
-1.071200000000000000e+04,1.471000000000000682e+03,1.662366666666666561e+03
-1.071300000000000000e+04,1.549000000000000682e+03,1.673295665935316947e+03
-1.071300000000000000e+04,1.571000000000000682e+03,1.676299999999999727e+03
-1.071300000000000000e+04,1.679000000000000682e+03,1.688299999999999727e+03
-1.071400000000000000e+04,1.739000000000000682e+03,1.692515716383840072e+03
-1.071500000000000000e+04,1.951000000000000682e+03,1.704968308785621275e+03
-1.071500000000000000e+04,1.983000000000000682e+03,1.708211111111110768e+03
-1.071600000000000000e+04,2.040000000000000682e+03,1.723117612480273920e+03
-1.071400000000000000e+04,2.099000000000000455e+03,1.731811111111110677e+03
-1.072500000000000000e+04,2.263000000000000455e+03,1.745840111642301281e+03
-1.075400000000000000e+04,2.428000000000000455e+03,1.756111111111110631e+03
-1.076400000000000000e+04,2.474000000000000455e+03,1.759470353673143563e+03
-1.078900000000000000e+04,2.575000000000000455e+03,1.775477777777777419e+03
-1.081400000000000000e+04,2.634000000000000455e+03,1.784535164321309139e+03
-1.082200000000000000e+04,2.654000000000000455e+03,1.786722222222221944e+03
-1.091400000000000000e+04,2.860000000000000455e+03,1.803859999999999673e+03
-1.092400000000000000e+04,2.880000000000000455e+03,1.805869387293965019e+03
-1.096500000000000000e+04,2.959000000000000455e+03,1.818304444444444016e+03
-1.101300000000000000e+04,3.031000000000000455e+03,1.829065084784067949e+03
-1.113800000000000000e+04,3.208000000000000455e+03,1.844804444444444243e+03
-1.118400000000000000e+04,3.269000000000000909e+03,1.851250730745806322e+03
-1.124500000000000000e+04,3.337000000000000909e+03,1.865496944444444125e+03
-1.127600000000000000e+04,3.366000000000000909e+03,1.872025160560285258e+03
-1.135100000000000000e+04,3.435000000000000909e+03,1.883296944444444080e+03
-1.141100000000000000e+04,3.485000000000000909e+03,1.889819464652627630e+03
-1.150400000000000000e+04,3.554000000000000909e+03,1.898130277777777337e+03
-1.168800000000000000e+04,3.675000000000000909e+03,1.913074722222221681e+03
-1.169500000000000000e+04,3.679000000000000909e+03,1.913678584186724038e+03
-1.180300000000000000e+04,3.737000000000000909e+03,1.925030277777777201e+03
-1.188800000000000000e+04,3.771000000000000909e+03,1.935696944444443943e+03
-1.192500000000000000e+04,3.786000000000000909e+03,1.941142801531236728e+03
-1.197100000000000000e+04,3.803000000000000909e+03,1.950296944444444080e+03
-1.201700000000000000e+04,3.818000000000000909e+03,1.958179605787082664e+03
-1.203200000000000000e+04,3.822000000000000909e+03,1.960030277777777428e+03
-1.210500000000000000e+04,3.843000000000000909e+03,1.966656216481158253e+03
-1.229400000000000000e+04,3.875000000000000909e+03,1.980352110922957309e+03
-1.229900000000000000e+04,3.875000000000000909e+03,1.980830277777777383e+03
-1.237400000000000000e+04,3.877000000000000909e+03,1.990363611111110686e+03
-1.241100000000000000e+04,3.874000000000000909e+03,1.995003659088836457e+03
-1.244800000000000000e+04,3.868000000000000909e+03,1.998830277777777383e+03
-1.249900000000000000e+04,3.858000000000000909e+03,2.003661182300025530e+03
-1.253700000000000000e+04,3.847000000000000909e+03,2.007434997364245191e+03
-1.255300000000000000e+04,3.841000000000000909e+03,2.009052499999999554e+03
-1.259900000000000000e+04,3.820000000000000909e+03,2.013985833333332721e+03
-1.260700000000000000e+04,3.817000000000000909e+03,2.014884791349196348e+03
-1.263400000000000000e+04,3.802000000000000909e+03,2.018919166666666115e+03
-1.267300000000000000e+04,3.775000000000000909e+03,2.026499984087805615e+03
-1.268000000000000000e+04,3.768000000000000909e+03,2.027896944444443989e+03
-1.276700000000000000e+04,3.640000000000000909e+03,2.044396944444443761e+03
-1.277100000000000000e+04,3.630000000000000909e+03,2.045212455456391581e+03
-1.278600000000000000e+04,3.579000000000000909e+03,2.048930277777777064e+03
-1.279400000000000000e+04,3.556000000000000909e+03,2.050917972988796009e+03
-1.281400000000000000e+04,3.499000000000000909e+03,2.058489072430656961e+03
-1.282000000000000000e+04,3.483000000000000909e+03,2.060485833333332721e+03
-1.285000000000000000e+04,3.432000000000000909e+03,2.066132693029144775e+03
-1.285600000000000000e+04,3.424000000000000909e+03,2.066952499999999418e+03
-1.290300000000000000e+04,3.375000000000000909e+03,2.072174722222221590e+03
-1.291800000000000000e+04,3.362000000000000909e+03,2.073957926313712505e+03
-1.295900000000000000e+04,3.333000000000000909e+03,2.080441388888888469e+03
-1.298000000000000000e+04,3.325000000000000909e+03,2.083314327221809890e+03
-1.302200000000000000e+04,3.310000000000000909e+03,2.087908055555555165e+03
-1.304000000000000000e+04,3.305000000000000909e+03,2.089794211168914444e+03
-1.308100000000000000e+04,3.296000000000000909e+03,2.094574722222221681e+03
-1.310600000000000000e+04,3.296000000000000909e+03,2.096563487103202988e+03
-1.316800000000000000e+04,3.301000000000000909e+03,2.100437222222221862e+03
