X,Y,Distance
3.714657896412570608e+03,2.225583679087293604e+03,3.465731566419772776e+02
3.711862574336938451e+03,2.203286007134969168e+03,3.488869444444444525e+02
3.709648714889517578e+03,2.186342016272511046e+03,3.506347479109548431e+02
3.699699328306671305e+03,2.146329396930294934e+03,3.549448683455690912e+02
3.697295974960029071e+03,2.139679292217496368e+03,3.554980555555555384e+02
3.676303253001172834e+03,2.087417397640681429e+03,3.594091666666666356e+02
3.663873010237888138e+03,2.055519293232334348e+03,3.619301648954749453e+02
3.637940083219238659e+03,2.002486442128085855e+03,3.669536111111110586e+02
3.613527561954372231e+03,1.956573167299421584e+03,3.726758333333332871e+02
3.613002094858873534e+03,1.953454852958059064e+03,3.731525811979281002e+02
3.600326362663654436e+03,1.929615267950867974e+03,3.775647222222222013e+02
3.567687335399493350e+03,1.876750403444757694e+03,3.850977595855993627e+02
3.565865444681062854e+03,1.875453979821826124e+03,3.852313888888888869e+02
3.507271983097169141e+03,1.786556250606638741e+03,3.920747795171918142e+02
3.461879720803993223e+03,1.724616420740005196e+03,4.011202777777777442e+02
3.424580466143603189e+03,1.682157433448980328e+03,4.101360619955131597e+02
3.422758575425172239e+03,1.680861009826048758e+03,4.102916666666666288e+02
3.366602955419550653e+03,1.617848738467334670e+03,4.189053667536912826e+02
3.359259397013115176e+03,1.610427677227102777e+03,4.198916666666666515e+02
3.326185386417797872e+03,1.575915218271808953e+03,4.247040986678932200e+02
3.261501775448234639e+03,1.511774509888301282e+03,4.316518312182853379e+02
3.245462239479718392e+03,1.496518911377765335e+03,4.335805555555555770e+02
3.205100666010678651e+03,1.456820757930743184e+03,4.396229129976221088e+02
3.184478405479729190e+03,1.437206416988625051e+03,4.425249999999999773e+02
3.096993162763425062e+03,1.355742729944216080e+03,4.545793195122662951e+02
3.088297185201344746e+03,1.347908192673911799e+03,4.557472222222222626e+02
2.992697427551172041e+03,1.263963649449064178e+03,4.685910167820379115e+02
2.982649030833446886e+03,1.255715636148686599e+03,4.698249999999999886e+02
2.952090364650197898e+03,1.232324015403198700e+03,4.737627732362614097e+02
2.898730066720208470e+03,1.191609415996808821e+03,4.803249999999999318e+02
2.875928434973468029e+03,1.174286437335907294e+03,4.833669076142993504e+02
2.792646929021154392e+03,1.117769265022399850e+03,4.936583333333333030e+02
2.785359366147431501e+03,1.112583570530671977e+03,4.944544906204955055e+02
2.564699588017011138e+03,9.830101847007352944e+02,5.119764595646845464e+02
2.536130799150331313e+03,9.676210878236902317e+02,5.145999999999999091e+02
2.391107483601141666e+03,8.929669657196819799e+02,5.341555555555554520e+02
2.368004366889754237e+03,8.814671397114327647e+02,5.376673361373198077e+02
2.287406191947646676e+03,8.427769058532422832e+02,5.493555555555554974e+02
2.168772294049346328e+03,7.858032429074955871e+02,5.648222222222221944e+02
2.160188307552691185e+03,7.824394391341984374e+02,5.658718249264726410e+02
2.051602806372115992e+03,7.337137894888293204e+02,5.778721355221937301e+02
1.953479177939338797e+03,6.918837339881930575e+02,5.887209927154508478e+02
1.917321341234288866e+03,6.771320952720725472e+02,5.917111111111111086e+02
1.733715328332324134e+03,5.980762161343163825e+02,6.050999999999999091e+02
1.723778922680024380e+03,5.942989363309461623e+02,6.061102568273662428e+02
1.650524306144352977e+03,5.630297637129871191e+02,6.193666666666665606e+02
1.625655294247247639e+03,5.524688808303098995e+02,6.238106025635204333e+02
1.585853676105336035e+03,5.351243948683254530e+02,6.286555555555554520e+02
1.511246640414019794e+03,5.034417462202933962e+02,6.361333309182175526e+02
1.478263113583045424e+03,4.904000071571779245e+02,6.394888888888887095e+02
1.415883845825245317e+03,4.646740095283070673e+02,6.463296777548379168e+02
1.404595021017300724e+03,4.604832536948638335e+02,6.474444444444442297e+02
1.326456194954548664e+03,4.306784912979754267e+02,6.557057912937384572e+02
1.298468868716080578e+03,4.206430755107967911e+02,6.585777777777775555e+02
1.234022220807915119e+03,4.016791736601500702e+02,6.652668751850470699e+02
1.199798265886721765e+03,3.926946920639690006e+02,6.687111111111108812e+02
1.131406351577047644e+03,3.769610956201105409e+02,6.756081743228655796e+02
1.062712952302726080e+03,3.670506518289044493e+02,6.824249023282344524e+02
1.046126441937628215e+03,3.656767253721765201e+02,6.840444444444442524e+02
9.816582867283797214e+02,3.637128099167007917e+02,6.906926266314585519e+02
9.727168197343647762e+02,3.639367920475522169e+02,6.915444444444442524e+02
9.262995851112849550e+02,3.682310125758847903e+02,6.965058626664974781e+02
9.053543323146051307e+02,3.714398106815901883e+02,6.988222222222220807e+02
8.534499182351501076e+02,3.888447467362979069e+02,7.045999999999999091e+02
